stat1,stat2,stat3,epreuve,score,joueur
7,1,1,1. Chouettes de guerre d'Athènes,60.81,herofactory
11,6,4,1. Chouettes de guerre d'Athènes,80.0,morph_23
10,2,4,1. Chouettes de guerre d'Athènes,77.33,wiloulou
17,1,1,1. Chouettes de guerre d'Athènes,78.59,jojopello
19,3,3,1. Chouettes de guerre d'Athènes,92.65,herofactory
14,7,1,1. Chouettes de guerre d'Athènes,96.37,morph_23
16,5,3,1. Chouettes de guerre d'Athènes,99.46,faramir45
8,1,1,1. Chouettes de guerre d'Athènes,61.06,ramboretourbabarwesh
13,7,13,1. Chouettes de guerre d'Athènes,106.6,kaoz62
15,7,9,1. Chouettes de guerre d'Athènes,114.05,faramir45
19,9,1,1. Chouettes de guerre d'Athènes,108.72,rislo4662
19,9,1,1. Chouettes de guerre d'Athènes,108.72,rislo4662
19,9,1,1. Chouettes de guerre d'Athènes,112.37,rislo4662
19,9,1,1. Chouettes de guerre d'Athènes,106.63,rislo4662
19,9,1,1. Chouettes de guerre d'Athènes,110.79,rislo4662
19,9,1,1. Chouettes de guerre d'Athènes,105.02,rislo4662
19,9,1,1. Chouettes de guerre d'Athènes,103.36,rislo4662
21,10,3,1. Chouettes de guerre d'Athènes,119.36,herofactory
18,12,3,1. Chouettes de guerre d'Athènes,124.03,enthomilo
23,10,1,1. Chouettes de guerre d'Athènes,123.46,herofactory
22,16,10,1. Chouettes de guerre d'Athènes,151.13,enthomilo
28,14,2,1. Chouettes de guerre d'Athènes,132.97,herofactory
44,22,2,1. Chouettes de guerre d'Athènes,178.74,herofactory
66,10,5,1. Chouettes de guerre d'Athènes,208.38,jojopello
70,10,10,1. Chouettes de guerre d'Athènes,227.32,jojopello
39,42,10,1. Chouettes de guerre d'Athènes,229.08,enthomilo
30,19,25,1. Chouettes de guerre d'Athènes,190.9,wiloulou
50,23,15,1. Chouettes de guerre d'Athènes,226.06,faramir45
82,18,5,1. Chouettes de guerre d'Athènes,242.0,enthomilo
85,19,7,1. Chouettes de guerre d'Athènes,273.01,enthomilo
