Niveau,Endurance,Vitesse,Precision,Score moyen,Score min,Score max
0,0,0,0,150,143,158
1,0,0,1,250,238,263
2,1,0,1,330,314,347
3,1,1,1,390,371,410
4,2,1,1,440,418,462
5,2,2,1,488,464,512
6,2,3,1,533,506,560
7,3,3,1,575,546,604
8,3,4,1,618,587,649
9,3,4,2,659,626,692
10,3,5,2,700,665,735
11,3,6,2,739,702,776
12,3,7,2,778,739,817
13,4,7,2,816,775,857
14,4,8,2,854,811,897
15,4,9,2,891,846,936
16,4,10,2,927,881,973
17,4,11,2,963,915,1011
18,5,11,2,999,949,1049
19,5,12,2,1034,982,1086
20,5,13,2,1069,1017,1121
21,5,14,2,1104,1049,1159
22,5,15,2,1138,1081,1195
23,5,16,2,1172,1113,1231
24,6,16,2,1205,1145,1265
25,6,17,2,1239,1177,1301
26,6,18,2,1272,1208,1336
27,6,19,2,1305,1240,1370
28,6,20,2,1337,1270,1404
29,6,21,2,1370,1302,1439
30,6,22,2,1402,1332,1472
31,6,23,2,1434,1362,1506
32,7,23,2,1466,1393,1539
33,7,23,3,1498,1423,1573
34,7,24,3,1530,1454,1607
35,7,25,3,1561,1483,1639
36,7,26,3,1592,1512,1672
37,7,27,3,1624,1543,1705
38,7,28,3,1655,1572,1738
39,7,29,3,1686,1602,1770
40,7,30,3,1716,1630,1802
41,8,30,3,1747,1660,1834
42,8,31,3,1777,1688,1866
43,8,32,3,1808,1718,1898
44,8,33,3,1838,1746,1930
45,8,34,3,1868,1775,1961
46,8,35,3,1898,1803,1993
47,8,36,3,1928,1832,2024
48,8,37,3,1958,1860,2056
49,8,38,3,1987,1888,2086
50,8,39,3,2017,1916,2118
51,8,40,3,0,0,0
52,8,40,4,0,0,0
53,8,41,4,0,0,0
54,8,42,4,0,0,0
55,8,43,4,0,0,0
56,8,44,4,0,0,0
57,8,45,4,0,0,0
58,8,46,4,0,0,0
59,8,47,4,0,0,0
60,9,47,4,0,0,0
61,9,48,4,0,0,0
62,9,49,4,0,0,0
63,9,50,4,0,0,0
64,9,51,4,0,0,0
65,9,52,4,0,0,0
66,9,53,4,0,0,0
67,9,54,4,0,0,0
68,9,55,4,0,0,0
69,9,56,4,0,0,0
70,9,57,4,0,0,0
71,9,58,4,0,0,0
72,9,59,4,0,0,0
73,9,60,4,0,0,0
74,9,61,4,0,0,0
75,10,61,4,0,0,0
76,10,62,4,0,0,0
77,10,63,4,0,0,0
78,10,64,4,0,0,0
79,10,65,4,0,0,0
80,10,66,4,0,0,0
81,10,67,4,0,0,0
82,10,68,4,0,0,0
83,10,69,4,0,0,0
84,10,70,4,0,0,0
85,10,71,4,0,0,0
86,10,72,4,0,0,0
87,10,73,4,0,0,0
88,10,74,4,0,0,0
89,10,75,4,0,0,0
90,11,75,4,0,0,0
91,11,76,4,0,0,0
92,12,76,4,0,0,0
93,12,77,4,0,0,0
94,12,78,4,0,0,0
95,12,79,4,0,0,0
96,12,80,4,0,0,0
97,12,81,4,0,0,0
98,12,82,4,0,0,0
99,12,83,4,0,0,0
100,12,84,4,0,0,0
101,12,85,4,0,0,0
102,12,86,4,0,0,0
103,12,87,4,0,0,0
104,13,87,4,0,0,0
105,13,88,4,0,0,0
106,13,89,4,0,0,0
107,13,90,4,0,0,0
108,13,91,4,0,0,0
109,13,92,4,0,0,0
110,13,93,4,0,0,0
111,13,94,4,0,0,0
112,13,95,4,0,0,0
113,13,96,4,0,0,0
114,13,97,4,0,0,0
115,13,98,4,0,0,0
116,13,99,4,0,0,0
117,13,100,4,0,0,0
118,13,101,4,0,0,0
119,13,102,4,0,0,0
120,13,103,4,0,0,0
121,13,104,4,0,0,0
122,13,105,4,0,0,0
123,13,106,4,0,0,0
124,13,107,4,0,0,0
125,13,108,4,0,0,0
126,13,109,4,0,0,0
127,13,110,4,0,0,0
128,13,111,4,0,0,0
129,13,112,4,0,0,0
130,14,112,4,0,0,0
131,14,113,4,0,0,0
132,14,114,4,0,0,0
133,15,114,4,0,0,0
134,15,115,4,0,0,0
135,15,116,4,0,0,0
136,15,117,4,0,0,0
137,15,118,4,0,0,0
138,15,119,4,0,0,0
139,15,120,4,0,0,0
140,15,121,4,0,0,0
141,15,122,4,0,0,0
142,15,123,4,0,0,0
143,15,124,4,0,0,0
144,15,125,4,0,0,0
145,15,126,4,0,0,0
146,15,127,4,0,0,0
147,15,128,4,0,0,0
148,15,129,4,0,0,0
149,15,130,4,0,0,0
150,15,131,4,0,0,0
151,15,132,4,0,0,0
152,15,133,4,0,0,0
153,15,134,4,0,0,0
154,15,135,4,0,0,0
155,15,136,4,0,0,0
156,15,137,4,0,0,0
157,15,138,4,0,0,0
158,15,139,4,0,0,0
159,15,140,4,0,0,0
160,15,141,4,0,0,0
161,15,142,4,0,0,0
162,15,143,4,0,0,0
163,15,144,4,0,0,0
164,15,145,4,0,0,0
165,15,146,4,0,0,0
166,15,147,4,0,0,0
167,16,147,4,0,0,0
168,16,148,4,0,0,0
169,16,149,4,0,0,0
170,16,150,4,0,0,0
171,16,151,4,0,0,0
172,16,152,4,0,0,0
173,16,153,4,0,0,0
174,16,154,4,0,0,0
175,17,154,4,0,0,0
176,17,155,4,0,0,0
177,17,156,4,0,0,0
178,17,157,4,0,0,0
179,17,158,4,0,0,0
180,17,159,4,0,0,0
181,17,160,4,0,0,0
182,17,161,4,0,0,0
183,17,162,4,0,0,0
184,17,163,4,0,0,0
185,17,164,4,0,0,0
186,17,165,4,0,0,0
187,17,166,4,0,0,0
188,17,167,4,0,0,0
189,17,168,4,0,0,0
190,18,168,4,0,0,0
191,18,169,4,0,0,0
192,18,170,4,0,0,0
193,18,171,4,0,0,0
194,18,172,4,0,0,0
195,18,173,4,0,0,0
196,18,174,4,0,0,0
197,18,175,4,0,0,0
198,18,176,4,0,0,0
199,18,177,4,0,0,0
200,18,177,5,0,0,0
201,18,178,5,0,0,0
202,18,179,5,0,0,0
203,18,180,5,0,0,0
204,18,181,5,0,0,0
205,18,182,5,0,0,0
206,18,183,5,0,0,0
207,18,184,5,0,0,0
208,18,185,5,0,0,0
209,18,186,5,0,0,0
210,18,187,5,0,0,0
211,18,188,5,0,0,0
212,19,188,5,0,0,0
213,19,189,5,0,0,0
214,19,190,5,0,0,0
215,19,191,5,0,0,0
216,19,192,5,0,0,0
217,19,193,5,0,0,0
218,19,194,5,0,0,0
219,19,195,5,0,0,0
220,19,196,5,0,0,0
221,19,197,5,0,0,0
222,19,198,5,0,0,0
223,19,199,5,0,0,0
224,19,200,5,0,0,0
225,19,201,5,0,0,0
226,19,202,5,0,0,0
227,19,203,5,0,0,0
228,19,204,5,0,0,0
229,19,205,5,0,0,0
230,20,205,5,0,0,0
231,20,206,5,0,0,0
232,20,207,5,0,0,0
233,20,208,5,0,0,0
234,20,209,5,0,0,0
235,20,210,5,0,0,0
236,20,211,5,0,0,0
237,20,212,5,0,0,0
238,20,213,5,0,0,0
239,20,214,5,0,0,0
240,20,215,5,0,0,0
241,20,216,5,0,0,0
242,20,217,5,0,0,0
243,20,218,5,0,0,0
244,20,219,5,0,0,0
245,20,220,5,0,0,0
246,20,221,5,0,0,0
247,20,222,5,0,0,0
248,20,223,5,0,0,0
249,20,224,5,0,0,0
250,20,225,5,0,0,0
251,21,225,5,0,0,0
252,21,226,5,0,0,0
253,21,227,5,0,0,0
254,21,228,5,0,0,0
255,21,229,5,0,0,0
256,21,230,5,0,0,0
257,21,231,5,0,0,0
258,21,232,5,0,0,0
259,21,233,5,0,0,0
260,21,234,5,0,0,0
261,21,235,5,0,0,0
262,21,236,5,0,0,0
263,21,237,5,0,0,0
264,21,238,5,0,0,0
265,21,239,5,0,0,0
266,21,240,5,0,0,0
267,21,241,5,0,0,0
268,21,242,5,0,0,0
269,21,243,5,0,0,0
270,21,244,5,0,0,0
271,21,245,5,0,0,0
272,21,246,5,0,0,0
273,21,247,5,0,0,0
274,21,248,5,0,0,0
275,21,249,5,0,0,0
276,21,250,5,0,0,0
277,21,251,5,0,0,0
278,21,252,5,0,0,0
279,21,253,5,0,0,0
280,21,254,5,0,0,0
