Niveau,Equilibre,Controle,Vitesse,Score moyen,Score min,Score max
0,0,0,0,500.00,475.00,525.00
0,0,0,0,500.00,475.00,525.00
1,0,1,0,525.00,498.75,551.25
2,0,1,1,545.00,517.75,572.25
3,1,1,1,560.00,532.00,588.00
4,2,1,1,572.99,544.34,601.64
5,2,2,1,585.88,556.59,615.17
6,2,2,2,598.37,568.45,628.29
7,3,2,2,610.70,580.17,641.24
8,4,2,2,622.62,591.49,653.75
9,5,2,2,634.23,602.52,665.94
10,6,2,2,645.62,613.34,677.90
11,7,2,2,656.82,624.98,689.66
12,8,2,2,667.85,634.46,701.24
13,9,2,2,678.75,644.81,712.69
14,10,2,2,689.53,655.05,723.99
15,11,2,2,700.20,665.19,735.21
16,11,2,3,710.87,675.33,746.41
17,12,2,3,721.44,685.37,757.51
18,13,2,3,731.93,695.33,768.53
19,13,3,3,742.37,705.25,779.49
21,15,3,3,763.11,725.95,801.27
22,16,3,3,773.37,734.70,812.04
23,17,3,3,783.57,744.39,822.75
24,18,3,3,793.71,754.02,833.40
25,19,3,3,803.79,763.60,844.00
26,20,3,3,813.82,773.13,854.51
27,21,3,3,823.80,782.61,865.00
28,22,3,3,833.74,792.05,875.43
29,23,3,3,843.63,801.45,885.81
30,24,3,3,853.47,810.80,896.14
31,25,3,3,863.28,820.12,906.44
32,26,3,3,873.04,829.39,916.69
33,27,3,3,882.77,838.63,926.91
34,28,3,3,892.46,847.84,937.08
35,29,3,3,902.12,857.01,947.23
36,29,3,4,911.74,866.15,957.33
37,30,3,4,921.37,875.30,967.44
38,31,3,4,930.96,884.41,977.51
39,32,3,4,940.52,893.49,987.55
40,33,3,4,950.05,902.55,997.55
41,34,3,4,959.55,911.57,1007.53
42,35,3,4,969.03,920.58,1017.48
43,36,3,4,978.48,929.56,1027.40
44,37,3,4,987.90,938.51,1037.30
45,38,3,4,997.29,947.43,1047.15
46,39,3,4,1006.66,956.33,1056.99
47,40,3,4,1016.01,965.21,1066.81
48,41,3,4,1025.34,974.07,1076.61
49,42,3,4,1034.64,982.91,1086.37
50,43,3,4,1043.92,991.72,1096.12
51,44,3,4,1053.17,1000.51,1105.83
52,45,3,4,1062.41,1009.29,1115.53
53,46,3,4,1071.62,1018.04,1125.20
54,47,3,4,1080.82,1026.78,1134.86
55,48,3,4,1090.00,1035.50,1144.50
56,49,3,4,1099.15,1044.19,1154.11
57,50,3,4,1108.29,1052.88,1163.70
58,51,3,4,1117.41,1061.54,1173.28
59,51,4,4,1126.52,1070.19,1182.85
60,52,4,4,1135.62,1078.84,1192.40
61,53,4,4,1144.71,1087.47,1201.94
62,54,4,4,1153.77,1096.08,1211.46
63,55,4,4,1162.82,1104.68,1220.96
64,56,4,4,1171.86,1113.27,1230.45
65,57,4,4,1180.88,1121.84,1239.92
66,58,4,4,1189.88,1130.39,1249.37
67,59,4,4,1198.87,1138.93,1258.81
68,60,4,4,1207.84,1147.45,1268.23
69,61,4,4,1216.80,1155.96,1277.64
70,62,4,4,1225.74,1164.45,1287.03
71,63,4,4,1234.67,1172.94,1296.40
72,63,4,5,1243.59,1181.41,1305.77
73,64,4,5,1252.50,1189.88,1315.13
74,65,4,5,1261.40,1198.33,1324.47
75,66,4,5,1270.29,1206.78,1333.80
76,67,4,5,1279.16,1215.20,1343.12
77,68,4,5,1288.02,1223.62,1352.42
78,69,4,5,1296.87,1232.03,1361.71
79,70,4,5,1305.70,1240.42,1370.99
80,71,4,5,1314.52,1248.79,1380.25
81,72,4,5,1323.33,1257.16,1389.50
82,73,4,5,1332.13,1265.52,1398.74
83,74,4,5,1340.91,1273.86,1407.96
84,75,4,5,1349.68,1282.20,1417.16
85,76,4,5,1358.44,1290.52,1426.36
86,77,4,5,1367.19,1298.83,1435.55
87,78,4,5,1375.93,1307.13,1444.73
88,79,4,5,1384.66,1315.43,1453.89
89,80,4,5,1393.37,1323.70,1463.04
90,81,4,5,1402.08,1331.98,1472.18
91,82,4,5,1410.77,1340.23,1481.31
92,83,4,5,1419.45,1348.48,1490.42
93,84,4,5,1428.13,1356.72,1499.54
94,85,4,5,1436.79,1364.95,1508.63
95,86,4,5,1445.44,1373.17,1517.71
96,87,4,5,1454.08,1381.38,1526.78
97,88,4,5,1462.72,1389.58,1535.86
98,89,4,5,1471.34,1397.77,1544.91
99,90,4,5,1479.95,1405.95,1553.95
