Niveau,Performance,Technique,Equilibre,Score moyen,Score min,Score max
0,0,0,0,50.00,47.50,52.50
1,0,1,0,51.80,49.21,54.39
2,1,1,0,53.10,50.45,55.76
3,1,2,0,54.03,51.33,56.73
4,2,2,0,54.91,52.16,57.66
5,2,2,1,55.71,52.92,58.50
6,3,2,1,56.49,53.67,59.31
7,3,3,1,57.24,54.38,60.10
8,3,3,2,57.99,55.09,60.89
9,3,3,3,58.71,55.77,61.65
10,3,3,4,59.43,56.46,62.40
11,4,3,4,60.14,57.13,63.15
12,4,3,5,60.85,57.81,63.89
13,4,3,6,61.55,58.47,64.63
14,4,3,7,62.24,59.13,65.35
15,4,3,8,62.92,59.77,66.07
16,4,3,9,63.61,60.43,66.79
17,4,3,10,64.29,61.08,67.50
18,4,3,11,64.96,61.71,68.21
19,4,3,12,65.64,62.36,68.92
20,5,3,12,66.30,62.99,69.62
21,5,3,13,66.97,63.62,70.32
22,5,3,14,67.64,64.26,71.02
23,5,3,15,68.31,64.89,71.73
24,5,3,16,68.97,65.52,72.42
25,5,3,17,69.63,66.15,73.11
26,5,3,18,70.29,66.78,73.80
27,5,3,19,70.95,67.40,74.50
28,5,4,19,71.60,68.02,75.18
29,5,4,20,72.26,68.65,75.87
30,5,4,21,72.91,69.26,76.56
31,5,4,22,73.56,69.88,77.24
32,5,4,23,74.21,70.50,77.92
33,5,4,24,74.86,71.12,78.60
34,5,4,25,75.51,71.73,79.29
35,5,4,26,76.16,72.35,79.97
36,5,4,27,76.80,72.96,80.64
37,5,4,28,77.44,73.57,81.31
38,5,4,29,78.09,74.19,82.00
39,5,4,30,78.73,74.79,82.67
40,5,4,31,79.37,75.40,83.34
41,5,4,32,80.01,76.01,84.01
42,5,4,33,80.65,76.62,84.68
43,5,4,34,81.29,77.23,85.36
44,6,4,34,81.92,77.82,86.02
45,6,4,35,82.56,78.43,86.69
46,6,4,36,83.19,79.03,87.35
47,6,4,37,83.83,79.64,88.02
48,6,4,38,84.46,80.24,88.68
49,6,4,39,85.10,80.85,89.36
50,6,4,40,85.73,81.44,90.02
51,6,4,41,86.35,82.03,90.67
52,6,4,42,86.97,82.62,91.32
53,6,4,43,87.59,83.21,91.97
54,6,4,44,88.21,83.80,92.62
55,6,4,45,88.83,84.39,93.27
56,6,4,46,89.45,84.98,93.92
57,6,4,47,90.07,85.57,94.57
58,6,4,48,90.69,86.16,95.22
59,6,4,49,91.31,86.74,95.88
60,6,4,50,91.93,87.33,96.53
61,6,4,51,92.55,87.92,97.18
62,6,4,52,93.17,88.51,97.83
63,6,4,53,93.79,89.10,98.48
64,6,4,54,94.41,89.69,99.13
65,6,4,55,95.03,90.28,99.78
66,6,4,56,95.65,90.87,100.43
67,6,4,57,96.27,91.46,101.08
68,6,4,58,96.89,92.05,101.73
69,6,4,59,97.51,92.63,102.39
70,6,4,60,98.13,93.22,103.04
71,6,4,61,98.75,93.81,103.69
72,6,4,62,99.37,94.40,104.34
73,6,4,63,99.99,94.99,104.99
74,6,4,64,100.61,95.58,105.64
75,6,4,65,101.23,96.17,106.29
76,6,4,66,101.85,96.76,106.94
77,6,4,67,102.47,97.35,107.59
78,6,4,68,103.09,97.94,108.24
79,6,4,69,103.71,98.52,108.90
80,6,4,70,104.33,99.11,109.55
81,6,4,71,104.95,99.70,110.20
82,6,4,72,105.57,100.29,110.85
83,6,4,73,106.19,100.88,111.50
84,6,4,74,106.81,101.47,112.15
85,6,4,75,107.43,102.06,112.80
86,6,4,76,108.05,102.65,113.45
87,6,4,77,108.67,103.24,114.10
88,6,4,78,109.29,103.83,114.75
89,6,4,79,109.91,104.41,115.41
90,6,4,80,110.52,104.99,116.05
91,7,4,80,111.14,105.58,116.70
92,7,4,81,111.75,106.16,117.34
93,7,4,82,112.36,106.74,117.98
94,7,4,83,112.97,107.32,118.62
95,7,4,84,113.58,107.90,119.26
96,7,4,85,114.18,108.47,119.89
97,7,4,86,114.79,109.05,120.53
98,7,4,87,115.40,109.63,121.17
99,7,4,88,116.01,110.21,121.81
100,7,4,89,116.62,110.79,122.45
101,7,4,90,117.22,111.36,123.08
102,7,4,91,117.83,111.94,123.72
103,7,4,92,118.44,112.52,124.36
104,7,4,93,119.04,113.09,124.99
105,7,4,94,119.65,113.67,125.63
106,7,4,95,120.25,114.24,126.26
107,7,4,96,120.86,114.82,126.90
108,7,4,97,121.46,115.39,127.53
109,7,4,98,122.07,115.97,128.17
110,7,4,99,122.67,116.54,128.80
111,7,4,100,123.28,117.12,129.44
112,7,4,101,123.88,117.69,130.07
113,7,4,102,124.48,118.26,130.70
114,7,4,103,125.09,118.84,131.34
115,7,4,104,125.69,119.41,131.97
116,7,4,105,126.29,119.98,132.60
117,7,4,106,126.89,120.55,133.23
118,7,4,107,127.49,121.12,133.86
119,7,4,108,128.10,121.70,134.51
120,7,4,109,128.70,122.27,135.14
121,7,4,110,129.30,122.84,135.77
122,7,4,111,129.90,123.41,136.40
123,7,4,112,130.50,123.98,137.03
124,7,4,113,131.10,124.55,137.66
125,7,4,114,131.70,125.12,138.29
126,7,4,115,132.30,125.69,138.92
127,7,4,116,132.90,126.26,139.55
128,7,4,117,133.50,126.83,140.18
129,7,4,118,134.10,127.40,140.81
130,7,4,119,134.70,127.97,141.44
131,7,4,120,135.29,128.53,142.06
132,7,4,121,135.89,129.10,142.68
133,7,4,122,136.49,129.67,143.31
134,7,4,123,137.09,130.24,143.94
135,7,4,124,137.68,130.80,144.56
136,7,4,125,138.28,131.37,145.18
137,7,4,126,138.88,131.94,145.82
138,7,4,127,139.47,132.50,146.44
139,7,4,128,140.07,133.07,147.07
140,7,4,129,140.67,133.64,147.70
141,7,4,130,141.26,134.20,148.32
142,7,4,131,141.86,134.77,148.95
143,7,4,132,142.45,135.33,149.57
144,7,4,133,143.05,135.90,150.20
145,7,4,134,143.64,136.46,150.82
146,7,4,135,144.24,137.03,151.45
147,7,4,136,144.83,137.59,152.07
148,7,4,137,145.43,138.16,152.70
149,7,4,138,146.02,138.72,153.32
150,7,4,139,146.63,139.30,153.96
