Niveau,Concentration,Puissance,Endurance,Score moyen,Score min,Score max
1,0,0,1,34,33,36
2,0,1,1,40,38,42
3,0,2,1,43,42,46
4,0,2,2,46,45,49
5,0,3,2,49,47,52
6,0,3,3,51,50,55
7,0,4,3,54,52,58
8,0,4,4,56,55,60
9,0,4,5,59,57,63
10,0,5,5,61,59,65
11,0,5,6,63,61,68
12,0,5,7,66,63,70
13,0,6,7,68,65,72
14,0,6,8,70,67,74
15,0,6,9,72,69,77
16,0,6,10,74,71,79
17,0,7,10,76,73,81
18,1,7,10,78,75,83
19,1,7,11,80,77,85
20,1,7,12,82,79,87
21,1,7,13,84,81,89
22,1,8,13,86,82,91
23,1,8,14,88,84,93
24,1,8,15,90,86,95
25,1,8,16,91,88,97
26,1,9,16,93,90,99
27,1,9,17,95,91,101
28,1,9,18,97,93,103
29,1,9,19,99,95,105
30,1,10,19,100,96,107
31,1,10,20,102,98,108
32,1,10,21,104,100,110
33,1,10,22,106,101,112
34,2,10,22,107,103,114
35,2,10,23,109,105,116
36,2,11,23,111,106,117
37,2,11,24,113,108,119
38,2,11,25,114,110,121
39,2,11,26,116,111,123
40,2,11,27,118,113,125
41,2,12,27,119,114,126
42,2,12,28,121,116,128
43,3,12,28,123,117,130
44,3,12,29,124,119,131
45,3,12,30,126,121,133
46,3,12,31,127,122,135
47,3,13,31,129,124,137
48,3,13,32,131,125,138
49,3,13,33,132,127,140
50,4,13,33,134,128,142
51,4,13,34,135,130,143
52,4,13,35,137,131,145
53,4,14,35,139,133,147
54,4,14,36,140,134,148
55,4,14,37,142,136,150
56,4,14,38,143,137,151
57,5,14,38,145,139,153
58,5,14,39,146,140,155
59,5,14,40,148,141,156
60,5,15,40,149,143,158
61,5,15,41,151,144,160
62,5,15,42,152,146,161
63,6,15,42,154,147,163
64,6,15,43,155,149,164
65,6,15,44,157,150,166
66,6,15,45,158,152,167
67,6,16,45,160,153,169
68,7,16,45,161,154,171
69,7,16,46,163,156,172
70,7,16,47,164,157,174
71,7,16,48,166,159,175
72,7,16,49,167,160,177
73,8,16,49,169,161,178
74,8,16,50,170,163,180
75,8,17,50,172,164,181
76,8,17,51,173,166,183
77,8,17,52,175,167,184
78,9,17,52,176,168,186
79,9,17,53,178,170,188
80,9,17,54,179,171,189
81,9,17,55,180,172,191
82,10,17,55,182,174,192
83,10,17,56,183,175,194
84,10,18,56,185,177,195
85,10,18,57,186,178,197
86,10,18,58,188,179,198
87,11,18,58,189,181,200
88,11,18,59,190,182,201
89,11,18,60,192,183,203
90,12,18,60,193,185,204
91,12,18,61,195,186,205
92,12,19,61,196,187,207
93,12,19,62,198,189,208
94,12,19,63,199,190,210
95,13,19,63,200,191,211
96,13,19,64,202,193,213
97,13,19,65,203,194,214
98,14,19,65,205,195,216
99,14,19,66,206,197,217
100,14,19,67,207,198,219
101,14,20,67,209,199,220
102,14,20,68,210,201,222
103,15,20,68,211,202,223
104,15,20,69,213,203,224
105,15,20,70,214,204,226
106,16,20,70,216,206,227
107,16,20,71,217,207,229
108,16,20,72,218,208,230
109,17,20,72,220,210,232
110,17,20,73,221,211,233
111,17,21,73,222,212,234
112,17,21,74,224,213,236
113,18,21,74,225,215,237
114,18,21,75,226,216,239
115,18,21,76,228,217,240
116,19,21,76,229,219,242
117,19,21,77,230,220,243
118,19,21,78,232,221,244
119,20,21,78,233,222,246
120,20,21,79,234,224,247
121,20,21,80,236,225,249
122,20,22,80,237,226,250
123,21,22,80,238,227,251
124,21,22,81,240,229,253
125,21,22,82,241,230,254
126,22,22,82,242,231,256
127,22,22,83,244,233,257
128,22,22,84,245,234,258
129,23,22,84,246,235,260
130,23,22,85,248,236,261
131,23,22,86,249,238,262
132,24,22,86,250,239,264
133,24,23,86,252,240,265
134,24,23,87,253,241,267
135,24,23,88,254,243,268
136,25,23,88,256,244,269
137,25,23,89,257,245,271
138,25,23,90,258,246,272
139,26,23,90,259,247,273
140,26,23,91,261,249,275
141,27,23,91,262,250,276
142,27,23,92,263,251,278
143,27,23,93,265,252,279
144,28,23,93,266,254,280
145,28,24,93,267,255,282
146,28,24,94,269,256,283
147,28,24,95,270,257,284
148,29,24,95,271,259,286
149,29,24,96,272,260,287
150,30,24,96,274,261,288
151,30,24,97,275,262,290
152,30,24,98,276,263,291
153,31,24,98,278,265,292
154,31,24,99,279,266,294
155,31,24,100,280,267,295
156,32,24,100,281,268,296
157,32,25,100,283,269,298
158,32,25,101,284,271,299
159,33,25,101,285,272,300
160,33,25,102,286,273,302
161,33,25,103,288,274,303
162,34,25,103,289,275,304
163,34,25,104,290,277,306
164,35,25,104,291,278,307
165,35,25,105,293,279,308
166,35,25,106,294,280,310
167,36,25,106,295,281,311
168,36,25,107,297,283,312
169,37,25,107,298,284,314
170,37,25,108,299,285,315
171,37,26,108,300,286,316
172,37,26,109,302,287,318
173,38,26,109,303,289,319
174,38,26,110,304,290,320
175,39,26,110,305,291,322
176,39,26,111,307,292,323
177,39,26,112,308,293,324
178,40,26,112,309,295,326
179,40,26,113,310,296,327
180,41,26,113,312,297,328
181,41,26,114,313,298,329
182,42,26,114,314,299,331
183,42,26,115,315,300,332
184,42,27,115,316,302,333
185,42,27,116,318,303,335
186,43,27,116,319,304,336
187,43,27,117,320,305,337
188,44,27,117,321,306,339
189,44,27,118,323,308,340
190,45,27,118,324,309,341
191,45,27,119,325,310,342
192,45,27,120,326,311,344
193,46,27,120,328,312,345
194,46,27,121,329,313,346
195,47,27,121,330,315,348
196,47,27,122,331,316,349
197,48,27,122,333,317,350
198,48,27,123,334,318,351
199,48,28,123,335,319,353
200,48,28,124,336,320,354
201,49,28,124,337,321,355
202,49,28,125,339,323,357
203,50,28,125,340,324,358
204,50,28,126,341,325,359
205,51,28,126,342,326,360
206,51,28,127,343,327,362
207,52,28,127,345,328,363
208,52,28,128,346,330,364
209,52,28,129,347,331,365
210,53,28,129,348,332,367
211,53,28,130,350,333,368
212,54,28,130,351,334,369
213,54,28,131,352,335,371
214,54,29,131,353,336,372
215,55,29,131,354,338,373
216,55,29,132,356,339,374
217,56,29,132,357,340,376
218,56,29,133,358,341,377
219,57,29,133,359,342,378
220,57,29,134,360,343,379
221,57,29,135,362,344,381
222,58,29,135,363,346,382
223,58,29,136,364,347,383
224,59,29,136,365,348,384
225,59,29,137,366,349,386
226,60,29,137,368,350,387
227,60,29,138,369,351,388
228,61,29,138,370,352,389
229,61,29,139,371,354,391
230,61,30,139,372,355,392
231,62,30,139,374,356,393
